등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,129,16238,4.19
2,국어,123,29177,7.52
3,국어,117,48064,12.39
4,국어,108,75765,19.53
5,국어,98,64171,16.54
6,국어,84,67068,17.29
7,국어,69,44837,11.56
8,국어,64,27736,7.15
9,국어,64미만,14889,3.84
1,수학 가형,126,7366,5.84
2,수학 가형,123,7063,5.6
3,수학 가형,116,20207,16.03
4,수학 가형,111,17343,13.75
5,수학 가형,99,25338,20.1
6,수학 가형,83,20212,16.03
7,수학 가형,68,15490,12.28
8,수학 가형,62,8784,6.97
9,수학 가형,62미만,4288,3.4
1,수학 나형,135,13717,5.32
2,수학 나형,128,16914,6.56
3,수학 나형,118,29761,11.55
4,수학 나형,106,42945,16.67
5,수학 나형,90,52978,20.56
6,수학 나형,80,43523,16.89
7,수학 나형,77,37996,14.75
8,수학 나형,73,13423,5.21
9,수학 나형,73미만,6382,2.48
1,영어,90,22379,5.75
2,영어,80,46512,11.96
3,영어,70,68732,17.67
4,영어,60,80957,20.81
5,영어,50,62171,15.98
6,영어,40,38219,9.82
7,영어,30,26272,6.75
8,영어,20,25179,6.47
9,영어,20미만,18625,4.79
1,한국사,40,79113,20.3
2,한국사,35,67357,17.29
3,한국사,30,66023,16.94
4,한국사,25,53680,13.78
5,한국사,20,40459,10.38
6,한국사,15,35007,8.98
7,한국사,10,33886,8.7
8,한국사,5,12086,3.1
9,한국사,5미만,2035,0.52
1,생활과 윤리,66,5590,4.67
2,생활과 윤리,64,7834,6.54
3,생활과 윤리,59,16090,13.44
4,생활과 윤리,54,19256,16.08
5,생활과 윤리,47,25509,21.3
6,생활과 윤리,40,20592,17.2
7,생활과 윤리,37,15829,13.22
8,생활과 윤리,34,5634,4.71
9,생활과 윤리,34미만,3409,2.85
1,윤리와 사상,67,1243,4.61
2,윤리와 사상,65,1897,7.04
3,윤리와 사상,60,3875,14.38
4,윤리와 사상,53,4086,15.17
5,윤리와 사상,44,5237,19.44
6,윤리와 사상,41,4883,18.12
7,윤리와 사상,39,3711,13.77
8,윤리와 사상,37,1095,4.06
9,윤리와 사상,37미만,915,3.4
1,한국지리,66,2740,6.47
2,한국지리,64,2782,6.57
3,한국지리,60,4893,11.56
4,한국지리,53,7254,17.13
5,한국지리,46,8249,19.48
6,한국지리,41,6720,15.87
7,한국지리,38,6569,15.52
8,한국지리,36,1965,4.64
9,한국지리,36미만,1164,2.75
1,세계지리,67,1760,5.23
2,세계지리,63,3103,9.23
3,세계지리,59,3630,10.79
4,세계지리,54,5071,15.08
5,세계지리,46,6925,20.59
6,세계지리,40,6412,19.07
7,세계지리,37,4284,12.74
8,세계지리,35,1543,4.59
9,세계지리,35미만,904,2.69
1,동아시아사,68,1139,4.97
2,동아시아사,65,1390,6.06
3,동아시아사,59,3030,13.21
4,동아시아사,52,3771,16.44
5,동아시아사,45,4649,20.27
6,동아시아사,40,6459,28.16
7,동아시아사,-,-,-
8,동아시아사,37,1827,7.97
9,동아시아사,37미만,671,2.93
1,세계사,68,724,4.2
2,세계사,65,1243,7.2
3,세계사,59,2183,12.65
4,세계사,52,3137,18.18
5,세계사,46,3111,18.03
6,세계사,41,3284,19.03
7,세계사,38,2322,13.46
8,세계사,36,782,4.53
9,세계사,36미만,470,2.72
1,경제,69,298,5.44
2,경제,66,346,6.32
3,경제,59,696,12.71
4,경제,50,905,16.52
5,경제,44,1208,22.05
6,경제,41,996,18.18
7,경제,40,664,12.12
8,경제,38,219,4
9,경제,38미만,146,2.67
1,정치와 법,67,1424,6.2
2,정치와 법,65,1140,4.96
3,정치와 법,59,3411,14.85
4,정치와 법,52,3992,17.37
5,정치와 법,45,4735,20.61
6,정치와 법,41,3966,17.26
7,정치와 법,38,1876,8.17
8,정치와 법,36,1533,6.67
9,정치와 법,36미만,899,3.91
1,사회·문화,66,5344,4.61
2,사회·문화,62,9021,7.78
3,사회·문화,59,13274,11.44
4,사회·문화,53,25823,22.26
5,사회·문화,47,18384,15.85
6,사회·문화,40,18863,16.26
7,사회·문화,36,14339,12.36
8,사회·문화,34,6772,5.84
9,사회·문화,34미만,4162,3.59
1,물리학 Ⅰ,66,3649,7.26
2,물리학 Ⅰ,63,3775,7.51
3,물리학 Ⅰ,59,5874,11.68
4,물리학 Ⅰ,53,8272,16.45
5,물리학 Ⅰ,46,9013,17.93
6,물리학 Ⅰ,40,9117,18.13
7,물리학 Ⅰ,38,5534,11.01
8,물리학 Ⅰ,36,3367,6.7
9,물리학 Ⅰ,36미만,1680,3.34
1,화학 Ⅰ,65,5466,8.04
2,화학 Ⅰ,63,3966,5.83
3,화학 Ⅰ,59,7781,11.44
4,화학 Ⅰ,54,10265,15.09
5,화학 Ⅰ,47,14030,20.63
6,화학 Ⅰ,41,10875,15.99
7,화학 Ⅰ,37,8214,12.08
8,화학 Ⅰ,35,4700,6.91
9,화학 Ⅰ,35미만,2713,3.99
1,생명과학 Ⅰ,68,4810,4.45
2,생명과학 Ⅰ,64,7473,6.91
3,생명과학 Ⅰ,59,13860,12.82
4,생명과학 Ⅰ,53,17108,15.82
5,생명과학 Ⅰ,46,24193,22.38
6,생명과학 Ⅰ,41,18609,17.21
7,생명과학 Ⅰ,37,12237,11.32
8,생명과학 Ⅰ,35,7137,6.6
9,생명과학 Ⅰ,35미만,2684,2.48
1,지구과학 Ⅰ,66,5058,4.83
2,지구과학 Ⅰ,64,7062,6.75
3,지구과학 Ⅰ,59,15343,14.67
4,지구과학 Ⅰ,53,17263,16.5
5,지구과학 Ⅰ,46,19165,18.32
6,지구과학 Ⅰ,41,17142,16.39
7,지구과학 Ⅰ,38,13971,13.35
8,지구과학 Ⅰ,35,6836,6.53
9,지구과학 Ⅰ,35미만,2779,2.66
1,물리학 Ⅱ,67,208,6.05
2,물리학 Ⅱ,65,196,5.7
3,물리학 Ⅱ,60,391,11.38
4,물리학 Ⅱ,52,607,17.67
5,물리학 Ⅱ,44,739,21.51
6,물리학 Ⅱ,41,827,24.07
7,물리학 Ⅱ,39,156,4.54
8,물리학 Ⅱ,38,180,5.24
9,물리학 Ⅱ,38미만,132,3.84
1,화학 Ⅱ,66,264,7.4
2,화학 Ⅱ,64,194,5.44
3,화학 Ⅱ,61,399,11.19
4,화학 Ⅱ,52,643,18.03
5,화학 Ⅱ,44,723,20.27
6,화학 Ⅱ,41,698,19.57
7,화학 Ⅱ,38,502,14.07
8,화학 Ⅱ,37,61,1.71
9,화학 Ⅱ,37미만,83,2.33
1,생명과학 Ⅱ,68,474,6.48
2,생명과학 Ⅱ,65,384,5.25
3,생명과학 Ⅱ,60,826,11.29
4,생명과학 Ⅱ,50,1523,20.81
5,생명과학 Ⅱ,44,1643,22.45
6,생명과학 Ⅱ,41,1211,16.55
7,생명과학 Ⅱ,38,985,13.46
8,생명과학 Ⅱ,-,-,-
9,생명과학 Ⅱ,38미만,272,3.72
1,지구과학 Ⅱ,68,193,4.27
2,지구과학 Ⅱ,65,404,8.94
3,지구과학 Ⅱ,60,481,10.64
4,지구과학 Ⅱ,51,758,16.77
5,지구과학 Ⅱ,44,1284,28.4
6,지구과학 Ⅱ,41,622,13.76
7,지구과학 Ⅱ,39,311,6.88
8,지구과학 Ⅱ,37,359,7.94
9,지구과학 Ⅱ,37미만,109,2.41
1,농업 이해,74,31,4.06
2,농업 이해,63,67,8.77
3,농업 이해,54,80,10.47
4,농업 이해,48,257,33.64
5,농업 이해,47,40,5.24
6,농업 이해,42,146,19.11
7,농업 이해,41,83,10.86
8,농업 이해,38,36,4.71
9,농업 이해,38미만,24,3.14
1,농업 기초 기술,73,24,4.2
2,농업 기초 기술,67,39,6.83
3,농업 기초 기술,53,77,13.49
4,농업 기초 기술,47,182,31.87
5,농업 기초 기술,46,45,7.88
6,농업 기초 기술,44,88,15.41
7,농업 기초 기술,42,62,10.86
8,농업 기초 기술,38,39,6.83
9,농업 기초 기술,38미만,15,2.63
1,공업 일반,68,68,4.95
2,공업 일반,66,90,6.55
3,공업 일반,60,169,12.31
4,공업 일반,51,238,17.33
5,공업 일반,44,366,26.66
6,공업 일반,41,227,16.53
7,공업 일반,40,65,4.73
8,공업 일반,37,96,6.99
9,공업 일반,37미만,54,3.93
1,기초 제도,71,76,6.11
2,기초 제도,67,70,5.63
3,기초 제도,58,144,11.58
4,기초 제도,48,247,19.87
5,기초 제도,44,367,29.53
6,기초 제도,43,76,6.11
7,기초 제도,41,175,14.08
8,기초 제도,39,43,3.46
9,기초 제도,39미만,45,3.62
1,상업 경제,72,122,4.22
2,상업 경제,65,203,7.02
3,상업 경제,56,404,13.96
4,상업 경제,49,507,17.53
5,상업 경제,46,603,20.84
6,상업 경제,42,479,16.56
7,상업 경제,39,269,9.3
8,상업 경제,38,223,7.71
9,상업 경제,38미만,83,2.87
1,회계 원리,73,115,4.12
2,회계 원리,64,218,7.81
3,회계 원리,56,361,12.93
4,회계 원리,50,458,16.41
5,회계 원리,46,642,23
6,회계 원리,42,512,18.34
7,회계 원리,40,193,6.92
8,회계 원리,37,220,7.88
9,회계 원리,37미만,72,2.58
1,해양의 이해,75,8,4.23
2,해양의 이해,60,13,6.88
3,해양의 이해,54,24,12.7
4,해양의 이해,49,35,18.52
5,해양의 이해,44,56,29.63
6,해양의 이해,43,35,18.52
7,해양의 이해,-,-,-
8,해양의 이해,40,15,7.94
9,해양의 이해,40미만,3,1.59
1,수산·해운 산업 기초,77,6,4.65
2,수산·해운 산업 기초,58,11,8.53
3,수산·해운 산업 기초,52,15,11.63
4,수산·해운 산업 기초,49,22,17.05
5,수산·해운 산업 기초,47,34,26.36
6,수산·해운 산업 기초,44,17,13.18
7,수산·해운 산업 기초,41,10,7.75
8,수산·해운 산업 기초,40,9,6.98
9,수산·해운 산업 기초,40미만,5,3.88
1,인간 발달,75,79,4.3
2,인간 발달,61,144,7.84
3,인간 발달,54,250,13.61
4,인간 발달,49,328,17.86
5,인간 발달,45,471,25.64
6,인간 발달,43,201,10.94
7,인간 발달,41,228,12.41
8,인간 발달,39,72,3.92
9,인간 발달,39미만,64,3.48
1,생활 서비스 산업의 이해,70,84,4.76
2,생활 서비스 산업의 이해,64,129,7.31
3,생활 서비스 산업의 이해,59,194,10.99
4,생활 서비스 산업의 이해,51,318,18.02
5,생활 서비스 산업의 이해,45,353,20
6,생활 서비스 산업의 이해,41,349,19.77
7,생활 서비스 산업의 이해,39,192,10.88
8,생활 서비스 산업의 이해,37,80,4.53
9,생활 서비스 산업의 이해,37미만,66,3.74
1,독일어 Ⅰ,64,46,7.47
2,독일어 Ⅰ,62,23,3.73
3,독일어 Ⅰ,59,87,14.12
4,독일어 Ⅰ,55,110,17.86
5,독일어 Ⅰ,48,109,17.69
6,독일어 Ⅰ,38,148,24.03
