등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,133,18015 ,4.07
2,국어,125,32787 ,7.4
3,국어,116,56275 ,12.7
4,국어,106,78603 ,17.74
5,국어,95,86708 ,19.57
6,국어,84,73569 ,16.6
7,국어,73,51976 ,11.73
8,국어,63,28597 ,6.45
9,국어,63미만,16560 ,3.74
1,수학,133,17910 ,4.2
2,수학,126,32921 ,7.72
3,수학,118,50248 ,11.78
4,수학,107,69816 ,16.36
5,수학,94,85517 ,20.05
6,수학,80,76134 ,17.85
7,수학,74,50532 ,11.84
8,수학,70,29913 ,7.01
9,수학,70미만,13634 ,3.2
1,영어,90,20843 ,4.71
2,영어,80,80311 ,18.17
3,영어,70,105939 ,23.96
4,영어,60,85829 ,19.41
5,영어,50,54205 ,12.26
6,영어,40,36383 ,8.23
7,영어,30,27950 ,6.32
8,영어,20,23191 ,5.25
9,영어,20미만,7454 ,1.69
1,한국사,40,83674 ,18.81
2,한국사,35,62537 ,14.06
3,한국사,30,69746 ,15.68
4,한국사,25,68100 ,15.31
5,한국사,20,58092 ,13.06
6,한국사,15,46556 ,10.47
7,한국사,10,36934 ,8.3
8,한국사,5,17279 ,3.88
9,한국사,5미만,1952 ,0.44
1,생활과 윤리,65,6357 ,4.63
2,생활과 윤리,63,11087 ,8.08
3,생활과 윤리,59,16020 ,11.67
4,생활과 윤리,54,23890 ,17.4
5,생활과 윤리,48,25796 ,18.79
6,생활과 윤리,42,22737 ,16.56
7,생활과 윤리,36,18047 ,13.15
8,생활과 윤리,32,9260 ,6.75
9,생활과 윤리,32미만,4074 ,2.97
1,윤리와 사상,63,4241 ,11.75
2,윤리와 사상,-,-,-
3,윤리와 사상,60,5717 ,15.84
4,윤리와 사상,55,4645 ,12.87
5,윤리와 사상,46,8017 ,22.21
6,윤리와 사상,41,5343 ,14.8
7,윤리와 사상,37,4548 ,12.6
8,윤리와 사상,33,2333 ,6.46
9,윤리와 사상,33미만,1258 ,3.48
1,한국지리,65,2350 ,7.37
2,한국지리,63,2817 ,8.83
3,한국지리,61,2438 ,7.65
4,한국지리,54,5271 ,16.53
5,한국지리,45,6902 ,21.65
6,한국지리,40,6275 ,19.68
7,한국지리,38,3486 ,10.93
8,한국지리,36,1552 ,4.87
9,한국지리,36미만,795 ,2.49
1,세계지리,66,1522 ,5.92
2,세계지리,63,1792 ,6.97
3,세계지리,60,2755 ,10.72
4,세계지리,54,4487 ,17.46
5,세계지리,46,5157 ,20.07
6,세계지리,40,5512 ,21.45
7,세계지리,37,2307 ,8.98
8,세계지리,34,1523 ,5.93
9,세계지리,34미만,646 ,2.51
1,동아시아사,64,1293 ,7.45
2,동아시아사,63,745 ,4.29
3,동아시아사,60,2095 ,12.07
4,동아시아사,55,2958 ,17.04
5,동아시아사,46,3500 ,20.16
6,동아시아사,40,2843 ,16.38
7,동아시아사,37,2430 ,14
8,동아시아사,35,842 ,4.85
9,동아시아사,35미만,651 ,3.75
1,세계사,63,1402 ,9.24
2,세계사,62,955 ,6.3
3,세계사,60,1794 ,11.83
4,세계사,56,2167 ,14.28
5,세계사,45,2970 ,19.58
6,세계사,40,2863 ,18.87
7,세계사,37,1686 ,11.11
8,세계사,35,923 ,6.08
9,세계사,35미만,410 ,2.7
1,경제,68,207 ,4.23
2,경제,63,429 ,8.78
3,경제,59,550 ,11.25
4,경제,52,987 ,20.19
5,경제,46,783 ,16.02
6,경제,41,840 ,17.18
7,경제,37,717 ,14.67
8,경제,36,193 ,3.95
9,경제,36미만,182 ,3.72
1,정치와 법,67,1259 ,5.15
2,정치와 법,64,1458 ,5.97
3,정치와 법,59,3389 ,13.87
4,정치와 법,53,4003 ,16.39
5,정치와 법,46,4783 ,19.58
6,정치와 법,41,4786 ,19.59
7,정치와 법,38,2101 ,8.6
8,정치와 법,35,1825 ,7.47
9,정치와 법,35미만,822 ,3.37
1,사회·문화,66,5374 ,4.42
2,사회·문화,63,9399 ,7.73
3,사회·문화,59,16667 ,13.7
4,사회·문화,54,19492 ,16.02
5,사회·문화,47,23591 ,19.39
6,사회·문화,41,20265 ,16.66
7,사회·문화,37,16235 ,13.34
8,사회·문화,33,8405 ,6.91
9,사회·문화,33미만,2234 ,1.84
1,물리학 Ⅰ,67,2959 ,4.68
2,물리학 Ⅰ,63,6230 ,9.86
3,물리학 Ⅰ,60,5550 ,8.79
4,물리학 Ⅰ,53,12829 ,20.31
5,물리학 Ⅰ,46,11126 ,17.62
6,물리학 Ⅰ,40,12769 ,20.22
7,물리학 Ⅰ,38,5059 ,8.01
8,물리학 Ⅰ,35,4696 ,7.43
9,물리학 Ⅰ,35미만,1944 ,3.08
1,화학 Ⅰ,67,2767 ,4.73
2,화학 Ⅰ,62,6009 ,10.27
3,화학 Ⅰ,58,6756 ,11.54
4,화학 Ⅰ,54,8285 ,14.16
5,화학 Ⅰ,47,12223 ,20.89
